customer_age,customer_tenure_days,previous_transactions,previous_success_rate,previous_failures,amount,event_type,payment_method,failure_reason,attempts,hours_since_event,checkout_intent,engagement_score,is_repeat_customer,action,recovered,recovered_amount,time_to_recovery_hours,potential_no_action_recovery,potential_no_action_probability,potential_retry_recovery,potential_retry_probability,potential_payment_update_recovery,potential_payment_update_probability,potential_reminder_recovery,potential_reminder_probability,potential_personalized_offer_recovery,potential_personalized_offer_probability
56,53,19,0.8709586752875145,2,4422.42,subscription_failure,card,authentication_failure,0,8.106237123749448,0.6396793989114536,0.7563021026859916,0,retry,0,0.0,,2718.1078503905096,0.6252029683324084,2965.1242587239576,0.7333510902060921,3140.607625792663,0.8040326345125642,2944.5362590541063,0.7659495302567559,3313.4087903793097,0.825795371798086
46,81,17,0.7664658073255025,4,780.66,overdue_invoice,card,technical_failure,2,4.055240934251202,0.9055799142592564,0.528048311112072,0,payment_update,1,517.0592138678331,31.67163123441886,384.3536342887621,0.49366174994435735,509.1883168504918,0.6845249814481894,517.0592138678331,0.6625426143243537,486.1740449887675,0.7194224563825222,569.6899519083124,0.7325382397818317
32,92,11,0.6771757842873604,4,594.19,payment_failure,netbanking,technical_failure,0,6.00247778569682,0.5783585929703123,0.4437367941051675,1,reminder,0,0.0,,307.4551439230096,0.5608599266807004,438.1972602016393,0.7397467598181459,393.99070720185415,0.7200385331393048,401.30050494243545,0.7103487145051377,446.139878119423,0.7587163992890155
60,111,15,0.8226367066536955,3,1703.22,payment_failure,netbanking,insufficient_funds,3,5.876714354252916,0.38977033827791,0.5260860641578711,1,payment_update,1,956.589502421971,0.9201722902628511,657.7630353092641,0.3980615352148561,885.8981245356985,0.5215993947143448,956.589502421971,0.5711271514649291,838.6771548402829,0.5431104428630513,993.0981336709519,0.6139192616354822
25,273,11,0.8315729024248387,2,4073.69,payment_failure,upi,authentication_failure,0,7.3081450881873815,0.20519471325454647,0.44175199228682055,1,payment_update,1,2746.171528467564,10.530317969696966,1941.194295560536,0.5182647934558163,2640.5646470013444,0.684189310064883,2746.171528467564,0.6841893100648829,2514.4864339517007,0.644490897787956,2735.013057266932,0.702942820394231
38,489,10,0.831413622138916,2,2081.39,payment_failure,netbanking,unknown,1,1.8271706493639033,0.6031371401307044,0.6110243039835703,1,reminder,0,0.0,,1092.3286001377514,0.6042956538459162,1324.7608446695915,0.7157336072177856,1381.5984992223312,0.7546181404542042,1521.337520547501,0.7473435336957048,1576.7005913050348,0.8019849974733858
56,496,17,0.6418574544384879,6,2897.82,checkout_abandonment,upi,unknown,2,39.90669468432094,0.6064460767534712,0.7977505010301724,1,no_action,1,1129.038203744864,7.640624681198455,1129.038203744864,0.4582796153703508,1659.6525476174952,0.6301195082724138,1806.5312900607237,0.6301195082724138,1575.875590207929,0.6212802224863474,2021.6311717913493,0.7076015161692465
36,1,16,0.8109852069235739,3,5571.03,payment_failure,upi,technical_failure,0,0.8801136301969323,0.7190940444755323,0.43757322299128076,0,personalized_offer,0,0.0,,2932.0738963683343,0.5705848670105338,4103.426028749792,0.7831702785858162,3985.513726250882,0.7279482767927695,4011.2437851088007,0.7282814328067757,3981.159857272795,0.7729414332670445
40,1269,7,0.9570626801951307,0,415.55,overdue_invoice,wallet,technical_failure,3,25.828342334671852,0.4850418308416683,0.8765729705021001,1,reminder,0,0.0,,186.04932513008927,0.5217270507943393,256.8660585140286,0.7082630381845747,272.1879003789936,0.6871788489920705,278.6515849491432,0.7123300636083195,273.52568205246024,0.7564114060931242
28,866,12,0.6698936366857781,4,465.74,payment_failure,netbanking,bank_decline,0,1.369596241048751,0.7513196907358398,0.6127211105015388,1,personalized_offer,1,361.4092291825928,10.080878896255161,295.53522340918164,0.6414378718240596,346.22662906536385,0.7467986128927026,343.3217161775718,0.7827237750092378,356.3364246011882,0.7849200890765785,361.4092291825928,0.8323109499542328
28,1662,7,0.827265191751786,1,483.06,subscription_failure,card,authentication_failure,1,2.45310826378104,0.7237751758937453,0.736301102735607,1,retry,1,339.0232574204472,12.14966637272134,314.5379665164152,0.6562331206124787,339.0232574204472,0.7588806246795992,343.1963261842302,0.8244152248612824,377.95503139017416,0.7941089711971294,387.5435137678198,0.8466033630253085
41,224,9,0.8216239054942497,2,1880.5,overdue_invoice,upi,expired_card,1,0.7765945630540813,0.8008803396215622,0.768658699407702,1,retry,1,1403.6164973688985,8.945005780024958,1230.0792288873888,0.6806174084386735,1403.6164973688985,0.81101372882213,1489.6779800251006,0.8761656742244356,1528.9524441542726,0.8438185127001612,1519.903720558485,0.8646356521392446
53,547,8,0.7733325016675495,2,966.84,payment_failure,upi,bank_decline,1,31.097297308256323,0.7269697259771939,0.5164618500084397,1,no_action,0,0.0,,501.60807688475427,0.5608670547782744,664.1122647473201,0.7200443671625227,682.4642691336622,0.7200443671625227,662.0537876127427,0.7209383895464252,687.9889187318227,0.7719504356317619
57,92,12,0.8954124179189018,1,3575.01,subscription_failure,upi,authentication_failure,1,0.3333239092870257,0.5347743383916133,0.48240136858824006,1,retry,1,2323.5170147258364,8.248664940318491,1849.876668222086,0.5878697855263276,2323.5170147258364,0.7417657006636064,2568.973330769197,0.7781928593609058,2326.473955654554,0.7295493029677217,2456.3216247321157,0.7787779419189071
41,850,7,0.8247937464896529,1,1692.9,payment_failure,card,authentication_failure,0,0.870934602529577,0.6347493073020827,0.4371215583883286,1,reminder,0,0.0,,925.9608517430643,0.6372011434702193,1199.0820339059487,0.7433086170952244,1210.009105064597,0.7795828026601775,1155.0077062193368,0.7747621394621917,1267.1768268178519,0.8143474530281538
20,88,12,0.7126126387138709,3,8071.82,payment_failure,upi,bank_decline,0,2.80075619145799,0.6972505653829965,0.6349460909088911,0,payment_update,1,5727.763723448056,6.6068307801090995,4280.578030757429,0.5624494288944348,5360.939849855581,0.7213381392432601,5727.763723448056,0.7213381392432601,5694.234582813793,0.7201380801599551,5785.95033429125,0.7797590077890074
39,198,9,0.9205561443537175,1,3926.53,overdue_invoice,netbanking,expired_card,1,9.921155571378044,0.7918947779431986,0.645639475274188,1,payment_update,1,3099.47484577527,8.990077707553969,2612.129588383359,0.6815447367376031,2694.618364784842,0.77917753859471,3099.47484577527,0.8766281450684589,3026.2262340552547,0.8439666300101182,2868.374326212671,0.8589630644669861
19,338,11,0.546250731725615,5,5677.68,payment_failure,wallet,unknown,1,9.474775235755144,0.31897961837545025,0.659190563436924,1,reminder,0,0.0,,2038.3205865974637,0.4145608033376949,2925.623013758705,0.5386371497768164,3242.094769751119,0.587794970030296,2803.498424416707,0.5539146203226186,3302.5908821807097,0.6374301221318756
41,452,13,0.8133596621472425,2,5093.07,subscription_failure,card,bank_decline,1,11.573750905476867,0.886685311712178,0.4482321070982822,1,no_action,0,0.0,,2729.564189339614,0.6288872897721561,3477.172402498963,0.7364204954625914,3548.429287081098,0.8065030974738686,3862.3567109728374,0.7837722266492273,3976.504755110331,0.8209422916585234
61,411,16,0.8105528240829029,3,7258.21,checkout_abandonment,netbanking,expired_card,1,4.731548582784137,0.5085791520870216,0.7381492563917118,1,personalized_offer,1,5284.766501820916,12.693266048722965,4134.783161816277,0.5922279388606889,4864.047997219529,0.7054076337186639,5792.704548697237,0.8282369320514051,5113.118995528001,0.7312916868949939,5284.766501820916,0.7975443664739977
47,54,12,0.868933095037719,2,908.66,checkout_abandonment,card,insufficient_funds,3,5.192366490914262,0.5421704947641969,0.8797899569652956,0,reminder,0,0.0,,357.86445781567215,0.4414080846958196,475.39218025882155,0.5657546064433358,528.8931469049338,0.6140931551613028,466.1305487602406,0.5997228146959968,600.1228340679322,0.6961683526400753
55,274,12,0.9068633526042099,1,4002.28,subscription_failure,upi,bank_decline,1,32.05106374453845,0.5369008058410017,0.44086335490524564,1,retry,1,2800.07989602496,7.48600873483325,1898.645451647293,0.5458725444773486,2800.07989602496,0.7076520086568685,2591.2416286016337,0.7472516379549821,2593.186787267236,0.6946443654255607,2713.6676003061475,0.7448674747906225
19,1282,12,0.7508817909010017,3,10001.42,checkout_abandonment,netbanking,unknown,4,2.244359018041905,0.586601097555998,0.8394099787575887,1,reminder,0,0.0,,4197.094163737602,0.42726425671743545,5301.096441444334,0.5515606250273363,5261.893786000966,0.6003631016025227,5038.970412277573,0.5895943373135454,5992.795930132889,0.6832444976902208
